judge,dataset,category,n,pearson_mean,pearson_lo,pearson_hi,width_mean,width_lo,width_hi,cpi_mean,cpi_lo,cpi_hi,rsg_mean,rsg_lo,rsg_hi
Gemini,AesBench,Aesthetics/AI,392,0.2663125319217018,0.24538445933606282,0.28847802024830016,2.192659635020762,2.059349699572337,2.3304310182162697,0.4518350912448095,0.41739224544593273,0.48516257510691585,-0.1855225593231077,-0.23343688412988706,-0.13526069669863905
Gemini,diffusiondb,Aesthetics/AI,299,0.32445854119729967,0.2827320078283684,0.36358660336042514,3.287670467535654,3.034543107177814,3.5357030457516507,0.17808238311608632,0.11607423856208723,0.24136422320554654,0.14637615808121335,0.10038297639096024,0.193512045587817
Gemini,VisitBench,General VQA,397,0.534918878092369,0.5070336135027178,0.563602860270027,2.6214326737514093,2.382585331968327,2.8388111274431096,0.34464183156214767,0.29029721813922255,0.40435366700791836,0.19027704653022143,0.11507558304082141,0.2576501376531322
Gemini,coco,General VQA,397,0.341077203717715,0.31510610038213727,0.36420634238441335,2.6600425176285016,2.438808489657527,2.8710233788154835,0.3349893705928745,0.28224415529612923,0.3902978775856183,0.006087833124840564,-0.06823022895875525,0.07734408434333817
Gemini,llava_bench,General VQA,396,0.31635320416134,0.30021977000635663,0.3300954716194688,3.0621959258811637,2.8586794558995297,3.2790162971751258,0.23445101852970893,0.18024592570621858,0.2853301360251175,0.08190218563163107,0.023377733630075313,0.14596934458326258
Gemini,mm-vet,General VQA,258,0.23547637821595485,0.20943060772344507,0.2676343464859724,2.5234446000683213,2.098930225991464,2.9606173771342563,0.3691388499829196,0.25984565571643586,0.475267443502134,-0.1336624717669648,-0.23380221509364635,-0.03604635428786606
Gemini,Concept Caption,Knowledge/Web,398,0.43950111386026547,0.4254696088808666,0.4556574301986569,2.6764383700025745,2.4808864464577116,2.9004381882814902,0.3308904074993565,0.2748904529296274,0.379778388385572,0.10861070636090911,0.06104032175669608,0.16096609112332885
Gemini,WIT,Knowledge/Web,399,0.27779818830257036,0.24752829495485554,0.3087112515309572,2.7121402676701547,2.521043277594447,2.8915310314163563,0.3219649330824613,0.2771172421459109,0.3697391806013882,-0.044166744779891,-0.103504655493583,0.01941641070178905
Gemini,mind2web,Knowledge/Web,398,0.06659979575684091,0.040769818271082336,0.09378873888919305,2.9137124928397746,2.7966097175236326,3.041768084207372,0.27157187679005623,0.23955797894815706,0.30084757061909195,-0.20489016782845093,-0.23294428201797165,-0.1774191475572005
Gemini,ChartQA,Vision-Heavy,400,0.49170876922489554,0.46692220935933465,0.5112627712376269,2.8457716106176374,2.5357774993345146,3.129774065625668,0.28855709734559054,0.2175564835935831,0.36605562516637136,0.20315167187930494,0.12445441617974268,0.2790390359459417
Gemini,ScienceQA,Vision-Heavy,396,0.5247403188451487,0.5001939672177617,0.545349398488445,2.946239752661098,2.593933915942907,3.2932456056969333,0.26344006183472546,0.1766885985757667,0.35151652101427316,0.2613002570104232,0.15959721941491073,0.35137822879662445
Gemini,infographicsVQA,Vision-Heavy,398,0.542781049936836,0.5221472767203855,0.5628116599383083,2.928923233609703,2.730718703647355,3.1133996644196795,0.26776919159757434,0.2216500838950801,0.31732032408816124,0.27501185833926167,0.21779837721264092,0.3361601428718385
Gemini,mathvista,Vision-Heavy,790,0.43951546595314694,0.415139961021608,0.46337669136565585,3.2395910617973227,3.089794070836864,3.375876091875607,0.19010223455066924,0.15603097703109817,0.227551482290784,0.24941323140247781,0.20793735145835482,0.2894211489751008
Gemini,textVQA,Vision-Heavy,399,0.5978735362912234,0.5780968214699143,0.6137063934488943,2.2328800249695773,2.1240380121231075,2.320726417285204,0.44177999375760557,0.419818395678699,0.46899049696922307,0.15609354253361793,0.11382683158737628,0.18664763440292348
