sample_id,gt_score,parsed_score,error,abs_error,orig_dataset
0,3.0,3,0.0,0.0,coco
1,2.0,1,-1.0,1.0,coco
2,4.0,5,1.0,1.0,coco
3,2.0,3,1.0,1.0,coco
4,3.0,3,0.0,0.0,coco
5,4.0,3,-1.0,1.0,coco
6,5.0,4,-1.0,1.0,coco
7,3.0,3,0.0,0.0,coco
8,2.0,2,0.0,0.0,coco
9,1.0,1,0.0,0.0,coco
10,5.0,3,-2.0,2.0,coco
11,1.0,2,1.0,1.0,coco
12,4.0,3,-1.0,1.0,coco
13,4.0,3,-1.0,1.0,coco
14,4.0,4,0.0,0.0,coco
15,5.0,3,-2.0,2.0,coco
16,3.0,4,1.0,1.0,coco
17,4.0,4,0.0,0.0,coco
18,3.0,4,1.0,1.0,coco
19,3.0,4,1.0,1.0,coco
20,4.0,4,0.0,0.0,coco
21,4.0,4,0.0,0.0,coco
22,5.0,5,0.0,0.0,coco
23,3.0,3,0.0,0.0,coco
24,3.0,5,2.0,2.0,coco
25,4.0,5,1.0,1.0,coco
26,5.0,5,0.0,0.0,coco
27,4.0,4,0.0,0.0,coco
28,3.0,5,2.0,2.0,coco
29,5.0,4,-1.0,1.0,coco
30,4.0,4,0.0,0.0,coco
31,4.0,3,-1.0,1.0,coco
32,4.0,5,1.0,1.0,coco
33,5.0,4,-1.0,1.0,coco
34,4.0,3,-1.0,1.0,coco
35,4.0,1,-3.0,3.0,coco
36,4.0,4,0.0,0.0,coco
37,5.0,5,0.0,0.0,coco
38,3.0,4,1.0,1.0,coco
39,4.0,4,0.0,0.0,coco
40,3.0,3,0.0,0.0,coco
41,4.0,5,1.0,1.0,coco
42,4.0,3,-1.0,1.0,coco
43,3.0,3,0.0,0.0,coco
44,3.0,3,0.0,0.0,coco
45,4.0,5,1.0,1.0,coco
46,3.0,3,0.0,0.0,coco
47,2.0,3,1.0,1.0,coco
48,2.0,3,1.0,1.0,coco
49,3.0,5,2.0,2.0,coco
50,3.0,4,1.0,1.0,coco
51,2.0,3,1.0,1.0,coco
52,3.0,2,-1.0,1.0,coco
53,3.0,4,1.0,1.0,coco
54,3.0,3,0.0,0.0,coco
55,3.0,4,1.0,1.0,coco
56,4.0,4,0.0,0.0,coco
57,4.0,4,0.0,0.0,coco
58,5.0,3,-2.0,2.0,coco
59,4.0,4,0.0,0.0,coco
60,3.0,4,1.0,1.0,coco
